"DisplayName","DisplayVersion","Publisher","InstallDate"
"Microsoft.ScreenSketch","11.2602.47.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.SecHealthUI","1000.29554.1001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Services.Store.Engagement","10.0.23012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Services.Store.Engagement","10.0.23012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.StartExperiencesApp","1.264.3.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.StorePurchaseApp","22603.1401.2.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Todos","2.175.6901.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.0","2.1810.18004.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.0","2.1810.18004.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.1","2.11906.6001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.1","2.11906.6001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.2","2.21909.17002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.2","2.21909.17002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.3","2.32002.13001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.3","2.32002.13001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.4","2.42007.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.4","2.42007.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.5","2.52012.2002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.5","2.52012.2002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.6","2.62112.3002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.6","2.62112.3002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.7","7.2409.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.7","7.2409.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.8","8.2511.26001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.8","8.2501.31001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.2.8","8.2501.31001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.UI.Xaml.CBS","9.2603.18001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VCLibs.120.00","12.0.21005.1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VCLibs.120.00","12.0.21005.1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VCLibs.140.00","14.0.33519.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VCLibs.140.00","14.0.33519.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VCLibs.140.00.UWPDesktop","14.0.33728.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VCLibs.140.00.UWPDesktop","14.0.33728.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VisualStudioCode","1.0.118.1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.VP9VideoExtensions","1.2.13.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WebMediaExtensions","2.1.26.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WebpImageExtension","1.2.14.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.WidgetsPlatformRuntime","1.6.18.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Win32WebViewHost","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.Apprep.ChxApp","1000.25128.1000.0","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.AugLoop.CBS","1.1126.2131.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.CapturePicker","10.0.19580.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.CloudExperienceHost","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.ContentDeliveryManager","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.DevHome","0.2100.858.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.NarratorQuickStart","10.0.26100.1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.OOBENetworkCaptivePortal","10.0.26569.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Microsoft.Windows.OOBENetworkConnectionFlow","10.0.26569.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
